RT_ID,SN_B,SN_E,STOP_CD_B,STOP_CD_E,DIST,LMT_SPD
VBRCSMC-N1,1,13,BALBO2A,MERMACA,97644,60
VBRCSPC-N1,1,13,BALBO2A,PACHO  ,101774,40
VBRCSPH-N1,1,14,BALBO2A,PACUR  ,116043,40
VBRCSVV-N1,1,10,BALBO2A,VVETK2A,64111,60
VBRDDE1-N2,1,12,BALBO2A,ESTLP2A,43830,40
VBRDDPP-N2,1,12,BALBO2A,PAPUE  ,43620,40
DOVEC-R,1,58,HSBCL3A,24DDI2A,705471,60
ACNAL-I,1,45,EALCDIA,ALBROCG,472770,40
ACNAL-R,1,53,ALBROCG,MOCON1A,1081124,60
BLVTO-R,1,47,ETBVE2D,ESTASIC,502420,40
BOMAL-DI,1,60,AMANE1A,ALBROCC,713196,40
VBRDD99-N2,1,11,BALBO2A,SSMTM3A,28791,50
VBRDPPD-N2,1,41,BALBO2A,PADON  ,378497,40
VCACSPC-N1,1,21,PENAB1A,PACHO  ,263574,40
VCACSPH-N1,1,21,PENAB1A,PACUR  ,264271,40
VCADDE1-N2,1,17,PENAB1A,ESTLP2A,64785,40
VCAMDER-P2,1,14,PENAB1A,ESTAPAA,37630,40
DROCE-I,1,35,DORAD1A,DORTM2A,292157,60
DROCE-R,1,2,DORTM2A,DORAD1A,334,60
DROFI-I,1,38,DORAD1A,DORTM2A,547194,60
VCHCCEA-N2,1,51,CHAGR2A,AMANE1A,777254,40
ADKAL-DI,1,60,EALCDIA,ALBROCC,670012,40
BONAL-I,1,43,AMANE1A,ALBROCG,461954,40
BOMAL-DR,1,65,ALBROCC,AMANE2A,1225649,40
CHKCS-I,1,79,CHAGR1A,VVETK1A,1381451,60
VBRJAC1-N2,1,18,BALBO2A,CONCE1A,67261,40
DOEFE-VI,1,5,NVAES2A,PARED2A,16597,60
DOEFE-VR,1,4,NTOPA2A,NVAES1A,8762,60
DOEMP-VI,1,4,PARED1A,PENAB1A,6242,60
DOEMP-VR,1,4,PENAB2A,PARED2A,6936,60
DOEPA-VI,1,4,PPAPC2A,PARED2A,27044,60
DOEPA-VR,1,3,NTOPA2A,PPAPC1A,16209,60
DOETO-VI,1,4,PARED1A,ESTASIC,10161,60
DOETO-VR,1,4,ESTASIC,PARED2A,8751,60
DOE24,1,19,PARED2A,PARED2A,50202,60
DROFI-R,1,2,DORTM2A,DORAD1A,334,60
D2SMA-I,1,27,PARED1A,ESTAMAD,332813,40
D2SMA-R,1,26,ESTAMAD,PARED2A,457913,60
VAMCNPC-N1,1,34,AMANE2A,PACHO  ,350210,40
VAMCNPH-N1,1,28,AMANE2A,PACUR  ,169566,40
ALKCO,1,17,ALLSB1A,ALLSB1A,150291,60
BONAL-R,1,49,ALBROCG,AMANE2A,948867,40
CASMA-I,1,23,CPRAD1A,ESTAMAB,215406,40
VBRJADB-N2,1,21,BALBO2A,CAL1C1A,92936,40
VBRJAEB-N2,1,2,BALBO2A,ETBVE1A,747,60
VBRJAEL-N2,1,2,BALBO2A,ETBVE2A,48,40
VBRJASP-N2,1,10,BALBO2A,AVE3CSA,20870,40
VBRJTER-N2,1,21,BALBO2A,ESTAPAA,90023,40
VBRJTP2-N2,1,27,BALBO2A,ESTAPEA,146591,40
VCAMTP2-P2,1,13,PENAB1A,ESTAPEA,29489,40
VCAPAPD-P2,1,18,PENAB1A,PADON  ,58723,40
D2SMA-TR,1,32,ESTAMAD,PARED2A,552039,60
VCAPDC1-P2,1,20,PENAB1A,CONCE1A,87993,40
VBIJADO-P2,1,45,BALBO1A,ESTA24A,502838,60
VBIJADR-N2,1,42,BALBO1A,PARED1A,440135,60
VBIJADX-N2,1,43,BALBO1A,ESTADAA,461381,60
CASMA-R,1,22,ESTAMAB,CPRAD2A,275443,30
VBIJTPG-N2,1,29,BALBO1A,PAGMN1A,214095,50
VBIJTP2-P2,1,28,BALBO1A,ESTAPEA,186820,40
CHFAL-R,1,38,ALBROCH,CHAGR2A,801437,60
VBRJTSI-N2,1,26,BALBO2A,YSAJO1A,136299,40
VBRVECV-N1,1,19,BALBO2A,CRUVHVA,63181,60
VB1CBPO-N2,1,64,DONBN2A,PAOJO  ,1009091,40
VCAPDDB-P2,1,16,PENAB1A,CAL1C1A,57000,40
VCAPDPP-P2,1,23,PENAB1A,PAPUE  ,131241,40
VBIJAEB-P2,1,3,BALBO1A,ETBVE1A,3625,60
VBIJAEL-P2,1,2,BALBO1A,ETBVE2A,1463,40
VBIJAES-P2,1,49,BALBO1A,ESTASIA,583617,40
VBIJTP6-N2,1,29,BALBO1A,PREAL2A,199947,50
VBIJTSI-N2,1,27,BALBO1A,YSAJO1A,175037,40
VB1CCPB-N2,1,47,DONBN2A,PACAB  ,549572,40
EARBO-R,1,36,ESTAN2B,AMANE2A,247973,40
EARCH-I,1,70,DONBN2A,ESTAN1E,1134697,60
VBIJAJV-N2,1,21,BALBO1A,JJVAL1A,115150,60
VBIJAJ2-N2,1,15,BALBO1A,ESTAD2A,62719,40
VBIJAMX-N2,1,34,BALBO1A,MAINT1A,288654,40
VBIVECV-N1,1,18,BALBO1A,CRUVHVA,50329,60
VBNARST-N2,1,42,DONBN1A,ESTASLA,403491,40
VBNARV1-N2,1,32,DONBN1A,VALLE1A,227291,30
VCACSAL-N1,1,22,PENAB1A,ALBROCA,293228,40
DOMAL-I,1,59,ESTA24A,ALBROCB,960007,40
VCEDDPP-N2,1,2,CVITM2A,PAPUE  ,196,40
VCHCBCR-N2,1,43,CHAGR2A,CABTK2A,576378,60
ECTCG,1,12,ESTICAA,ESTICAA,24097,40
EVTPP,1,13,ESTVARA,ESTVARA,35117,40
FEEDO,1,21,NVAES1A,NVAES1A,120859,60
VBIJANI-N2,1,47,BALBO1A,NVAES1A,557364,60
VBIJAP4-N2,1,56,BALBO1A,PPAPC1A,814183,40
BCSMA-I,1,35,VERDB2A,ESTAMAB,342351,40
VBNCBAE-N2,1,42,DONBN1A,ESTAN2A,392968,60
DOMAL-R,1,66,ALBROCB,24DDI2A,1178371,60
DOMCS-I,1,49,ESTA24A,VVETK1A,672012,60
VCHCBPO-N2,1,59,CHAGR2A,PAOJO  ,1017052,40
EAMAL-DI,1,26,ESTAN1B,ALBROCC,159841,40
BCVAL-I,1,76,CAL1C1A,ALBROCA,1046558,40
BCVEC-I,1,66,CAL1C1A,ESTICAA,788034,40
VBNCBLA-N2,1,40,DONBN1A,ANDESLA,356823,30
VBNCBPO-N2,1,40,DONBN1A,PAOJO  ,356260,40
DOMCS-R,1,54,VVETK2A,24DDI2A,677018,60
EARLI-DI,1,23,ESTASLA,ESTAN1E,74776,60
VBIJASP-N2,1,11,BALBO1A,AVE3CSA,35752,40
VBIJATO-N2,1,37,BALBO1A,CRUCE1A,343625,50
VBNCBSB-P2,1,39,DONBN1A,ESTSI2A,341175,60
VBNCCAZ-N2,1,21,DONBN1A,EALCDIA,91061,30
VBNCCBN-P2,1,2,DONBN1A,DONBN2A,3315,60
DOMMA-I,1,57,ESTA24A,ESTAMAO,896664,40
DOMMA-R,1,62,ESTAMAO,24DDI2A,826158,60
FESMA-I,1,32,NVAES1A,ESTAMAD,452823,40
FESMA-R,1,31,ESTAMAD,NVAES2A,620320,60
BCVMA-I,1,74,CAL1C1A,ESTAMAL,989013,40
BCVEC-R,1,61,HSBCL3A,CAL1C2A,752885,40
VBNCCEA-N2,1,32,DONBN1A,AMANE1A,220278,40
VBNCCEC-N2,1,22,DONBN1A,ESTACAA,101483,40
VBNCCPB-N2,1,23,DONBN1A,PACAB  ,111859,40
CHOMA,1,21,AMELI3A,AMELI3A,71436,40
DONSI,1,15,ESTADAB,ESTADAB,345767,60
DOSAL-I,1,31,PARED1A,ALBROCF,455731,40
DOSAL-R,1,30,ALBROCF,PARED2A,612054,60
EARAD-I,1,33,EALCDIA,ESTAN1E,195403,60
VBNCNPC-N1,1,10,DONBN1A,PACHO  ,221748,40
VBNCNPH-N1,1,6,DONBN1A,PACUR  ,85631,40
CHPAL-R,1,37,ALBROCG,CHAGR2A,845819,60
CHPAL-TI,1,34,CHAGR1A,ALBROCG,437135,40
DOSCO-I,1,20,ESTADAA,BVVCS2A,183211,40
DOSCO-R,1,19,BVVCS2A,PARED2A,263777,60
DOSMA-I,1,24,ESTA24C,ESTAMAD,316529,40
DOSMA-R,1,27,ESTAMAD,ESTA24C,488281,60
EARLI-DR,1,23,ESTAN2E,SANTA2A,103271,40
EARPI-DI,1,17,MANOP1A,ESTAN1E,56882,60
EARPI-DR,1,17,ESTAN2F,MANOP2A,62259,40
EARTC-DI,1,7,ESTATCB,ESTAN1E,16467,60
EARTC-DR,1,13,ESTAN2D,TORCA2A,37509,40
EARVA-I,1,12,VALLE1A,ESTAN1E,24657,60
VBIJAVL-N2,1,23,BALBO1A,VERDB2A,135849,40
VBIJTER-N2,1,22,BALBO1A,ESTAPAA,121306,40
CHPAL-TR,1,41,ALBROCG,CHAGR2A,1003983,60
VBRACBV-N2,1,5,BALBO2A,BVVCS1A,6952,40
VBRACCE-N2,1,5,BALBO2A,BVVCS2A,6520,40
VBRACET-N1,1,5,BALBO2A,COEST1A,4499,60
COSAL-R,1,13,ALBROCF,BVVCS1A,91364,40
CPEJD-I,1,2,ESTAD1B,ESTAD2D,705,40
CPEJD-R,1,20,ESTAD2D,ESTAD1B,87679,40
DOTBE,1,24,DORAD1A,DORAD1A,117561,60
VCHCBSB-N2,1,58,CHAGR2A,ESTSI2A,988990,60
BIPAL-R,1,40,ALBROCG,CABTK1A,954603,60
BLVDO-I,1,37,ESTA24B,BALBO1A,352262,60
CPEJ2-I,1,2,ESTAJ1B,ESTAJ2D,705,60
CPEJ2-R,1,22,ESTAJ2D,ESTAJ1B,127336,60
CPEJ3-I,1,2,ESTAD1B,ESTAD2D,705,40
CPEJ3-R,1,22,ESTAD2D,ESTAD1B,127336,40
VCACSBV-N2,1,13,PENAB1A,BVVCS1A,67682,40
VCACSCE-N2,1,13,PENAB1A,BVVCS2A,67163,40
VCACSEM-P1,1,21,PENAB1A,ESTAMAA,259431,40
EARBO-I,1,35,AMANE1A,ESTAN1E,221830,60
BLVDO-R,1,39,ETBVE2D,PARED2A,350335,60
BLVMP-I,1,37,PENAB1A,BALBO1A,274172,60
CPVAL-DR,1,59,ALBROCA,CA1CS1A,1079894,40
CSFAL,1,22,ALBROCD,ALBROCD,205614,40
EARVA-R,1,13,ESTAN2F,VALLE2A,27481,30
VCHCCAZ-N2,1,40,CHAGR2A,EALCDIA,505290,30
VCHCCC6-N2,1,8,CHAGR2A,CANCP1A,40604,40
BLVMP-R,1,39,ETBVE2C,PENAB2A,309824,40
BLVTO-I,1,50,ESTASIC,BALBO1A,516870,60
VBRCSAL-N1,1,16,BALBO2A,ALBROCA,143360,40
VBRCSA3-N1,1,16,BALBO2A,ADETM2A,133874,60
VBRCSCN-N1,1,14,BALBO2A,CVANA2A,107623,60
VBRCSC5-N1,1,8,BALBO2A,HSBCL3A,39205,60
VBRCSEM-N1,1,13,BALBO2A,ESTAMAA,97631,40
MPMMA-R,1,63,ESTAMAO,PENAB2A,843103,40
MPSAL-I,1,35,MAINT1A,ALBROCF,471158,40
MPSAL-R,1,34,ALBROCF,MAINT2A,753236,40
PESMA-R,1,29,ESTAMAA,ESTAPEC,436221,40
VALCSDR-N2,1,29,ALBROCA,PARED1A,615147,60
VALCSEB-N2,1,17,ALBROCA,ETBVE1A,177285,60
VALCSES-N2,1,36,ALBROCA,ESTASIA,856032,40
SIRCH-I,1,66,DONBN2A,ESTSI1A,995311,60
VACCNPC-N1,1,11,ESTAN1A,PACHO  ,144981,40
VACCNPH-N1,1,6,ESTAN1A,PACUR  ,20636,40
VACCNST-N2,1,15,ESTAN1A,ESTASLA,47898,40
VACCNTE-N2,1,14,ESTAN1A,ESTATCA,44404,40
VACRCAZ-N2,1,22,ESTAN1A,EALCDIA,109021,30
INEBL-R,1,25,ETBVE2A,INATM1A,137331,60
INEDO-I,1,16,INATM1A,PARED2A,81317,60
INEDO-R,1,14,PARED1A,INATM1A,48511,60
INEGE-I,1,24,INATM1A,GESTATA,180572,60
INEGE-R,1,23,GESTATA,INATM1A,155078,60
MPSCO-I,1,36,MAINT1A,BVVCS2A,291051,40
MPSCO-R,1,33,BVVCS2A,MAINT2A,401916,40
PEVEC-R,1,49,HSBCL3A,ESTAPEB,479311,40
SIRLI,1,51,ESTSI2A,ESTSI2A,407376,60
SIRPI,1,51,ESTSI2A,ESTSI2A,468627,60
LAMMA-I,1,38,ANDESLA,ESTAMAP,263213,40
LAMMA-R,1,43,ESTAMAP,TABLA3A,344412,40
MPSMA-I,1,32,MAINT1A,ESTAMAC,356685,40
MPSMA-R,1,30,ESTAMAC,MAINT2A,577087,40
SIRTC,1,44,ESTSI2A,ESTSI2A,323091,60
SIRVA,1,16,ESTSI2A,ESTSI2A,45615,60
SJERO,1,9,YSAJO1A,YSAJO1A,12295,40
LARHU,1,11,ANDESLA,ANDESLA,10591,30
VALCNCH-R2,1,23,ALBROCA,CHAGR1A,701064,60
VEKMA-I,1,40,VERAN3A,ESTAMAM,268281,40
VEKMA-R,1,39,ESTAMAM,VERAN3A,286035,40
VEMKVR-NA2,1,17,ESTAMAA,VILRICA,100444,40
VE3KVR-NA2,1,14,ESTICAA,VILRICA,56839,40
VLPKVR-NA2,1,14,LPAVA1A,VILRICA,52965,40
VALCNCR-N2,1,16,ALBROCA,CABTK2A,275417,60
VALCNC6-N2,1,16,ALBROCA,CANCP1A,447241,40
VALCNEA-N2,1,27,ALBROCA,AMANE1A,546748,40
VALCSJV-N2,1,28,ALBROCA,JJVAL1A,488994,60
VALCSMX-N2,1,23,ALBROCA,MAINT1A,408597,40
PGMAL-I,1,56,PAGMN1A,ALBROCB,758678,40
VACRCBN-N2,1,39,ESTAN1A,DONBN2A,369634,60
VACROAE-N2,1,2,ESTAN1A,ESTAN2A,241,60
VACROEA-N2,1,28,ESTAN1A,AMANE1A,175971,40
LIMAL-I,1,57,ESTASLB,ALBROCC,566126,40
LIMAL-R,1,62,ALBROCC,SANTA2A,952191,40
VMCKVR-NA2,1,19,MERMACA,VILRICA,105683,40
MPVEC-R,1,61,HSBCL3A,PENAB2A,743900,40
PGMAL-R,1,62,ALBROCB,PAGOS2A,1034322,40
VACROEC-N2,1,19,ESTAN1A,ESTACAA,78612,40
LIMMA-I,1,55,ESTASLB,ESTAMAP,519403,40
VALCSNI-N2,1,34,ALBROCA,NVAES1A,805071,60
VACROLA-N2,1,3,ESTAN1A,ANDESLA,2297,30
VACROPB-N2,1,20,ESTAN1A,PACAB  ,79913,40
VACROPO-N2,1,4,ESTAN1A,PAOJO  ,2385,40
VACROPS-N2,1,3,ESTAN1A,VPESA1A,1869,30
VACROSB-R2,1,7,ESTAN1A,ESTSI2A,8156,60
VACROVE-N2,1,2,ESTAN1A,VERAN3A,436,40
VACROVR-N2,1,8,ESTAN1A,VILRICA,14684,40
VACSBPF-N2,1,12,ESTAN1A,PBAVE1A,29490,40
VAECNAL-N1,1,5,ESTAN2A,ALBROCA,22295,40
VAECNC5-N1,1,8,ESTAN2A,HSBCL3A,57457,60
VAECNM1-N2,1,10,ESTAN2A,MANOP1A,26245,40
LIMMA-R,1,58,ESTAMAP,SANTA2A,621986,40
LINAL-I,1,32,ESTASLC,ALBROCG,274300,40
VALCNEC-N2,1,17,ALBROCA,ESTACAA,297770,40
VALCNER-N2,1,11,ALBROCA,ESTAPAA,260335,40
VALCNLA-N2,1,4,ALBROCA,ANDESLA,46349,30
VALCNLR-N2,1,5,ALBROCA,PUEBL4A,88664,60
VALCNM1-N2,1,9,ALBROCA,MANOP1A,139826,40
VALCNPB-N2,1,17,ALBROCA,PACAB  ,297840,40
PASAL-I,1,44,PPAPC1A,ALBROCF,825554,40
VALCSP6-N2,1,23,ALBROCA,PREAL2A,415792,50
VALCSSP-B2,1,13,ALBROCA,AVE3CSA,114596,40
VALCSVL-N2,1,15,ALBROCA,VERDB2A,158890,40
VALOTEM-N1,1,5,ALBROCA,ESTAMAA,16591,40
VALOTMC-N1,1,4,ALBROCA,MERMACA,11741,60
VALTKVR-N2,1,21,ALBROCA,VILRICA,205965,40
VALTKVV-N1,1,6,ALBROCA,VVETK2A,33278,60
VALVBCV-N1,1,4,ALBROCA,CRUVHVA,26460,60
VAECNPC-N1,1,10,ESTAN2A,PACHO  ,142571,40
VAECNPH-N1,1,5,ESTAN2A,PACUR  ,19431,40
VAECNPJ-N1,1,6,ESTAN2A,PACAF  ,27356,60
VAECNST-N2,1,14,ESTAN2A,ESTASLA,44524,40
VAECNS1-N2,1,8,ESTAN2A,ETAP11A,16988,40
VAECNTE-N2,1,13,ESTAN2A,ESTATCA,41271,40
VAECNVV-N1,1,6,ESTAN2A,VVETK2A,32293,60
TCMAL-I,1,54,ESTATCA,ALBROCC,554436,40
LINAL-R,1,36,ALBROCG,SANTA2A,580860,40
LPEBC,1,33,ESTLP2A,ESTLP2A,237113,40
PASAL-R,1,44,ALBROCF,PPAPC2A,1191810,40
PATED,1,23,PAICT1A,PAICT1A,101760,60
VALVBE3-N1,1,7,ALBROCA,ESTICAA,57306,40
VALVBE4-R1,1,4,ALBROCA,ESTVARA,26050,40
VALVBPU-N1,1,5,ALBROCA,URRACCA,34831,60
VAMARST-N2,1,31,AMANE2A,ESTASLA,202094,40
PIMAL-I,1,57,MANOP1A,ALBROCC,634408,40
VAEROAC-N2,1,2,ESTAN2A,ESTAN1A,933,60
VAEROLA-N2,1,2,ESTAN2A,ANDESLA,648,30
VAEROPB-N2,1,18,ESTAN2A,PACAB  ,74860,40
VAEROPF-N2,1,10,ESTAN2A,PBAVE1A,31904,40
VAEROPO-N2,1,3,ESTAN2A,PAOJO  ,1662,40
VAEROPS-N2,1,4,ESTAN2A,VPESA1A,4668,30
VAEROSB-N2,1,7,ESTAN2A,ESTSI2A,7832,60
VAEROVE-N2,1,3,ESTAN2A,VERAN3A,2302,40
VAEROVR-N2,1,10,ESTAN2A,VILRICA,21414,40
LPEBC-VI,1,3,CAL1C2A,ESTLP1A,5662,60
LPEBC-VR,1,3,ESTLP2A,CAL1C1A,6756,60
LPECA-VI,1,3,CPRAD2A,ESTLP1A,4706,60
LPECA-VR,1,3,ESTLP2A,CPRAD1A,6960,60
LPEDO,1,44,ESTLP2C,ESTLP2C,571269,40
LPEDO-VI,1,5,PARED2A,ESTLP1A,19243,60
LPEDO-VR,1,4,ESTLP2C,PARED1A,21742,60
LPEMP,1,48,ESTLP2B,ESTLP2B,508680,40
PCXPA-I,1,48,PACAB  ,PAACO  ,716762,60
PCXPA-R,1,54,PAACO  ,PACAB  ,2279122,40
PIMAL-R,1,62,ALBROCC,MANOP2A,960586,40
VALAAED-N1,1,2,ALBROCA,DORAD1A,9434,60
VALAAPH-N1,1,4,ALBROCA,PACUR  ,17202,40
VALAIPC-N1,1,10,ALBROCA,PACHO  ,53212,40
TBOMA,1,17,ESTAMAJ,ESTAMAJ,77992,40
VALCLA2-N1,1,7,ALBROCA,AMELI3A,23899,40
VALCNAC-N2,1,5,ALBROCA,ESTAN1A,62357,60
VALCNAZ-N2,1,20,ALBROCA,EALCDIA,369753,30
LPEPE-VI,1,5,ESTAPEA,ESTLP1A,7870,60
LPEPE-VR,1,4,ESTLP2B,ESTAPEA,9833,60
LPESJ-VI,1,3,PEGRE1A,ESTLP1A,5424,60
LPESJ-VR,1,4,ESTLP2A,YSAJO1A,12116,60
LPETO,1,67,ESTLP2A,ESTLP2A,1031478,40
VALCNPJ-N1,1,3,ALBROCA,PACAF  ,34572,60
VALCNPN-N2,1,5,ALBROCA,POLIC1A,65456,30
VALCNPO-N2,1,4,ALBROCA,PAOJO  ,45786,40
VALCNPP-N2,1,5,ALBROCA,PAPUE  ,88426,40
VALCNPS-N2,1,7,ALBROCA,VPESA1A,97467,30
VALCNP2-N2,1,17,ALBROCA,ESTAPEA,445249,40
VALCNP7-N2,1,5,ALBROCA,POLSI2A,65854,30
VALCNSB-N2,1,5,ALBROCA,ESTSI2A,61018,60
VALCNSI-N2,1,15,ALBROCA,YSAJO1A,391165,40
PIMMA-R,1,58,ESTAMAP,MANOP2A,630381,40
PINAL-I,1,26,MANOP1A,ALBROCG,252419,40
TCMAL-R,1,58,ALBROCC,TORCA2A,855772,40
TCMMA-I,1,52,ESTATCA,ESTAMAP,507849,40
LPSMA-I,1,25,ESTLP2A,ESTAMAA,232557,40
LPSMA-R,1,28,ESTAMAA,ESTLP1A,383557,40
MAKOV,1,41,ESTAMAN,ESTAMAN,321579,40
VALCNST-N2,1,13,ALBROCA,ESTASLA,215947,40
VALCNS1-N2,1,6,ALBROCA,ETAP11A,83648,40
VALCNTE-R2,1,14,ALBROCA,ESTATCA,236291,40
VALCNTR-N2,1,16,ALBROCA,TTOTC1A,278158,40
VALCNVE-N2,1,6,ALBROCA,VERAN3A,79446,40
VALCNV1-N2,1,8,ALBROCA,VALLE1A,116568,30
VALCSBV-N2,1,11,ALBROCA,BVVCS1A,74398,40
PINAL-R,1,30,ALBROCG,MANOP2A,429034,40
SPVAL-DR,1,48,ALBROCA,AVE3CSA,747944,40
SUFAL,1,31,ALBROCD,ALBROCD,567678,40
MAMPK,1,40,ESTAMAO,ESTAMAO,310823,40
MASAL-I,1,24,MAINT1A,ALBROCF,359105,40
VALCSCA-N2,1,22,ALBROCA,PENAB1A,377293,40
VALCSCE-N2,1,12,ALBROCA,BVVCS2A,89598,40
VALCSCP-N2,1,26,ALBROCA,CPRAD1A,431574,30
VALCSDB-R2,1,27,ALBROCA,CAL1C1A,457554,40
PQSAL-I,1,25,PREAL2A,ALBROCF,371484,40
PQSAL-R,1,24,ALBROCF,PREAL1A,410611,50
PVCAL-I,1,32,ETBVE1B,ALBROCH,203126,40
PVCAL-R,1,29,ALBROCH,BALBO2A,335705,60
VCHNPH-NA1,1,25,CHAGR2A,PACUR  ,305205,40
VCNKVR-NA2,1,14,CEVTM1A,VILRICA,46634,40
VEKAL-I,1,42,VERAN3A,ALBROCC,302132,40
VEKAL-R,1,43,ALBROCC,VERAN3A,511702,40
MASAL-R,1,21,ALBROCF,MAINT2A,312346,40
MECRP,1,40,MERMACA,MERMACA,416915,60
VMN0S7-NA2,1,29,MOCON1A,SANVI1A,195001,60
VPB0S7-NA2,1,29,PACAB  ,SANVI1A,206033,60
PEMAL-I,1,49,ESTAPEA,ALBROCB,618862,40
PEMAL-R,1,57,ALBROCB,ESTAPEA,872166,40
PVCMC-I,1,28,ETBVE1A,MERMACA,149153,60
PVCMC-R,1,28,MERMACA,BALBO2A,206668,60
PVTAL-DI,1,31,ETBVE1B,ALBROCH,182931,40
GEEDO,1,69,GESTATB,GESTATB,1393584,60
MIELP-VI,1,4,MAINT2A,ESTLP1A,17569,60
MIELP-VR,1,4,ESTLP2B,MAINT1A,21452,60
MIFAL,1,17,ALBROCD,ALBROCD,149126,40
MPEDO-VI,1,4,PARED1A,MAINT1A,6652,60
MPEDO-VR,1,4,MAINT2A,PARED2A,8166,60
MPMAL-I,1,60,PENAB1A,ALBROCB,833551,40
PEMCS-I,1,39,ESTAPEA,VVETK1A,395397,60
PEMCS-R,1,45,VVETK2A,ESTAPEA,443722,40
PVTAL-DR,1,33,ALBROCH,BALBO2A,438350,60
SANMA-I,1,23,PUEBL4A,ESTAMAE,282793,40
SANMA-R,1,25,ESTAMAE,PUEBL2A,323795,60
GEEMP,1,73,GESTATB,GESTATB,1297885,60
MPMAL-R,1,68,ALBROCB,PENAB2A,1227548,40
PEMMA-I,1,47,ESTAPEA,ESTAMAO,568425,40
PEMMA-R,1,52,ESTAMAO,ESTAPEA,549263,40
SIRAD-I,1,29,EALCDIA,ESTSI1A,144571,60
VALCSPD-N2,1,29,ALBROCA,PADON  ,614612,40
SIRBO-I,1,30,AMANE1A,ESTSI1A,159614,60
GEETO,1,92,GESTATB,GESTATB,2073580,60
MPMCS-I,1,50,PENAB1A,VVETK1A,585651,60
MPMCS-R,1,57,VVETK2A,PENAB2A,711834,40
PESMA-I,1,27,ESTAPEC,ESTAMAA,270194,40
SIRBO-R,1,30,ESTSI2A,AMANE2A,169449,40
INEBL-I,1,28,INATM1A,BALBO1A,178445,60
MPMMA-I,1,58,PENAB1A,ESTAMAO,795607,40
VBIQCA-NA2,1,35,BALBO1A,PENAB1A,305764,40
VBISAL-PT1,1,15,BALBO1A,ALBROCA,132650,40
VBISA2-PT1,1,12,BALBO1A,AMELI3A,91758,40
VBISA3-PT1,1,15,BALBO1A,ADETM2A,123164,60
VBISCN-PT1,1,13,BALBO1A,CVANA2A,98341,60
VBISC5-PT1,1,7,BALBO1A,HSBCL3A,34207,60
VBISEM-PT1,1,12,BALBO1A,ESTAMAA,89063,40
VBACSEM-N1,1,14,PAETM1A,ESTAMAA,188999,40
TOKAL-I,1,68,ESTASIB,ALBROCB,1085876,40
TOKAL-R,1,71,ALBROCB,ESTASIB,1423946,40
VACNEP-NA2,1,16,ESTAN1A,PODERTA,52120,40
VACNM1-NA2,1,11,ESTAN1A,MANOP1A,28655,40
VACNPC-NA1,1,6,ESTAN1A,PACHO  ,41527,40
VACNPH-NA1,1,6,ESTAN1A,PACUR  ,20636,40
VACNST-NA2,1,15,ESTAN1A,ESTASLA,47898,40
VACNTE-NA2,1,14,ESTAN1A,ESTATCA,44404,40
VACPPF-NA2,1,12,ESTAN1A,PBAVE1A,29490,40
VACRAE-NA2,1,2,ESTAN1A,ESTAN2A,241,60
VACREA-NA2,1,28,ESTAN1A,AMANE1A,175971,40
VAMNEM-NA1,1,36,AMANE2A,ESTAMAA,356802,40
VAMNPC-NA1,1,29,AMANE2A,PACHO  ,200436,40
VAMNPH-NA1,1,28,AMANE2A,PACUR  ,169566,40
VAMRAE-NA2,1,31,AMANE2A,ESTAN2A,191571,60
VBISE3-PT1,1,16,BALBO1A,ESTICAA,134650,40
VBISL2-PT1,1,13,BALBO1A,LPAVA2A,98764,60
VBISMC-PT1,1,12,BALBO1A,MERMACA,89076,60
VBISPC-PT1,1,12,BALBO1A,PACHO  ,93206,40
VBISPH-PT1,1,13,BALBO1A,PACUR  ,106761,40
VBISPT-PT1,1,6,BALBO1A,PAICT1A,24042,60
VBISPU-PT1,1,8,BALBO1A,URRACCA,43615,60
VBISVV-PT1,1,9,BALBO1A,VVETK2A,57685,60
VBACSPC-N1,1,14,PAETM1A,PACHO  ,193142,40
VBACSPH-N1,1,14,PAETM1A,PACUR  ,193839,40
VBADACP-N2,1,5,PAETM1A,CPRAD1A,15633,30
VBADAXA-N2,1,2,PAETM1A,139TM2A,3186,40
VBADDVL-N2,1,16,PAETM1A,VERDB2A,89752,40
VBADPLR-B2,1,6,PAETM1A,PUEBL4A,7136,60
VBADPPP-R2,1,12,PAETM1A,PAPUE  ,33853,40
VBAJAP2-B2,1,9,PAETM1A,ESTAPEA,32839,40
VBIACBV-N2,1,4,BALBO1A,BVVCS1A,4096,40
VACREC-NA2,1,19,ESTAN1A,ESTACAA,78612,40
VACRLA-NA2,1,3,ESTAN1A,ANDESLA,2297,30
VACRPB-NA2,1,20,ESTAN1A,PACAB  ,79913,40
VACRPO-NA2,1,4,ESTAN1A,PAOJO  ,2385,40
VACRPS-NA2,1,3,ESTAN1A,VPESA1A,1869,30
VACRSB-NA2,1,7,ESTAN1A,ESTSI2A,8156,60
VACRVE-NA2,1,2,ESTAN1A,VERAN3A,436,40
VACRVR-NA2,1,8,ESTAN1A,VILRICA,14684,40
VAMRCR-NA2,1,13,AMANE2A,CABTK2A,31081,60
VAMREC-NA2,1,11,AMANE2A,ESTACAA,21488,40
VAMRPB-NA2,1,11,AMANE2A,PACAB  ,21690,40
VAMRPO-NA2,1,28,AMANE2A,PAOJO  ,155934,40
VAMRSB-NA2,1,28,AMANE2A,ESTSI2A,157988,60
